Review Text,Review Rate,Review Time,search
"Immer wieder toll dort. Ich finde das Gebäude sehr gelungen. Die Sammlung ist abwechslungsreich, die Sonderausstellungen gut gemacht. Das “Designlager” sieht etwas beliebig zusammengewürfelt aus. Ist gewiss Absicht. Trotzdem würde mich eher eine Chronologie interessieren oder Fokus-Themen wie Bauhaus, Jugendstil,…",4,vor 3 Monaten,Pinakothek+der+Moderne
"Ich bin sehr zufrieden und hat mir sehr gefallen 👍😁👍. Sehr sehr interessante und schöne Skulpturen, Gemälde und Gegenstände 👍. Alles außergewöhnlich, einmalig, imposant und wunderbar. Sehr gut gemacht und organisiert. Besuch lohnt sich …",5,vor 3 Monaten,Pinakothek+der+Moderne
"Eine riesige, tolle und vielseitige Galerie und das für 1 € Eintritt. Moderne Kunst, Design und Architektur. Ein schönes Café mit Torten, Kuchen und Quiches. Wechselnde Sonderausstellungen. Eine große Garderobe und Schließfächer kann man auch nutzen. Ich bin begeistert.",5,vor 2 Monaten,Pinakothek+der+Moderne
"Super schönes zentrales Museum in München, als Student kommt man vergünstigt rein ^^ am Wochenende noch billiger. Sehr sehenswert und muss eigentlich in mehreren Besuchen besichtigt werden, um sich alles ordentlich anzuschauen. Vorallem die Architektur und Design Ausstellung hat mir sehr gefallen",5,vor 3 Wochen,Pinakothek+der+Moderne
"Für 10.- die klassische Moderne nur als kleinste Teilsammlung (teilweise ohne Bildtitel) weil die meisten Räume geschlossen sind. Dafür habe ich kein Verständnis!  Ich bin extra für einen Tag nach München gereist,  bestimmt nicht, um das …",1,vor 2 Monaten,Pinakothek+der+Moderne
"Die Pinakothek der Moderne ist ein fantastischer Ort der Kunst, den ich liebend gerne immer wieder aufsuche. Zum Glück hat München dieses einzigartige Museum. Hier ein paar Bilder aus der Rotunde von der Wal-Installation von Gil Shachar. Komme bald wieder! Danke.",5,vor einem Monat,Pinakothek+der+Moderne
"Tolles Museum
So großzügig, die Architektur stimmt. Interessante Ausstellungen.
Passt in die schöne Stadt.",5,vor 2 Monaten,Pinakothek+der+Moderne
"Tolles museum. 4 in 1. alles dabei, von design bis moderne Kunst und Architektur. Sehr empfehlenswert",5,vor 4 Monaten,Pinakothek+der+Moderne
"An dem Tag wo wir die Pinakothek besuchten war es sehr ruhig und gar nicht unangenehm voll, ich mag eigentlich eher altmodische Museen aber diese Art von Museen haben auch was charmantes, besonders die Möbel/ausgestellten retro Autos.",5,vor einem Monat,Pinakothek+der+Moderne
"Als ich vor kurzem einen Architekturbericht zum 20jährigen Jubiläum der 'Pinokathek der Moderne' las, fand ich, dass es wieder einmal Zeit war, sie zu besuchen. Ausserdem lockte mich die Eröffnung einer Ausstellung über und zur …",5,vor 4 Monaten,Pinakothek+der+Moderne
"Tolles und sehenswertes Museum mit moderner Kunst. Schade, dass es keine Kombi-Tickets für die anderen Museen in der Umgebung gibt.",5,vor 4 Monaten,Pinakothek+der+Moderne
"Wir sind immer gerne in der Pinakothek der Moderne. Es gibt ganz viele tolle Ausstellungen die nicht nur für Erwachsene interessant sind, sondern auch für Kinder. Letztes mal haben wir über die Audi Design Wall gelesen, sehr spannend. Die …",5,vor 6 Monaten,Pinakothek+der+Moderne
"Die Pinakothek der Moderne fällt schon von außen durch ihre pompöse Fassade auf. Ebenfalls sehenswert sind die Kunstausstellungen, die zum Teil temporär im Zuge einer Kunstreihe dem Besucher angeboten werden. So erinnert mich der Besuch ein …",5,vor 8 Monaten,Pinakothek+der+Moderne
Nette Ausstellung von Alltagsgegenständen. Kurzweilig. Kann man mal mitnehmen zum Angucken,4,vor 3 Monaten,Pinakothek+der+Moderne
"Die einzelnen Räume waren sehr schön,aber es gab keinen Leitfaden. Für mich alle Laie sehr unübersichtlich.",3,vor 2 Monaten,Pinakothek+der+Moderne
"Es gibt keine bessere künstlerische Ergänzung und Erweiterung der Alten Pinakothek in München als die Pinakothek der Moderne. Der großzügige und geschmackvolle Bau beherbergt eine erstaunliche Sammlung moderner und zeitgenössischer Kunst, …",5,vor 11 Monaten,Pinakothek+der+Moderne
