Review Text,Review Rate,Review Time,search,insert_date
"Waren zum ersten Mal hier auf Grund der guten Rezensionen. Man sieht gleich, dass hier nur Chinesen essen gehen, was wahrscheinlich darauf hindeutet, dass es sehr authentisch ist. …",5,vor einer Woche,SEEN+RESTAURANT,2022-06-26
"Der Service ist super, das Ambiente macht auch einen guten Eindruck. Und als ich gegessen hatte wusste ich, dass dies nicht mein letzter Besuch hier gewesen war. Ein tolles Erlebnis! Wirklich nur zu empfehlen!",5,vor 4 Monaten,SEEN+RESTAURANT,2022-06-26
"War echt begeistert. 2G wird vorbildlich kontrolliert, als der Hygienespender leer war, wurde sofort ein Pumpspender gebracht. Finde es total super über die App/Website am Tisch bestellen zu können, ging auch zügig, Essen war wirklich super …",5,vor 6 Monaten,SEEN+RESTAURANT,2022-06-26
Ich war mit mehreren Chinesischen Freunden in München reisen und wir haben das Restaurant durch eine Empfehlung entdeckt. …,4,vor 8 Monaten,SEEN+RESTAURANT,2022-06-26
味道超赞啊 mega authentisch. Bin selten in China Restaurant weil man als Chinesin oft enttäuscht wird aber hier war ich sehr zufrieden,5,vor 5 Monaten,SEEN+RESTAURANT,2022-06-26
"Was für ein tolles Erlebnis!
Wir waren zu dritt hier und waren alle sehr begeistert. Es war sehr authentisch und gemütlich. …",5,vor 3 Monaten,SEEN+RESTAURANT,2022-06-26
"Sehr authentische Sichuan-Küche mit angenehmen Ambient, geeignet für Leute treffen! Immer gerne wieder! Klebreiskuchen muss ich empfehlen!",5,vor 2 Monaten,SEEN+RESTAURANT,2022-06-26
"Sehr authentisches und hochwertiges Essen in lebendiger Atmosphäre. Und der Service war absolut professionell und aufmerksam. Toll, auf so hohem Niveau eine Ergänzung unter den Sichuan-Restaurants in München zu haben!",5,vor 10 Monaten,SEEN+RESTAURANT,2022-06-26
Sehr zentral gelegenes China Restaurant in der Nähe vom Münchner Hauptbahnhof bzw. Königsplatz mit authentischer sichuanischer Küche. …,5,vor 8 Monaten,SEEN+RESTAURANT,2022-06-26
"Selten so lecker asiatisch gegessen!!!

Schon beim betreten des modern und gemütlich eingerichteten Restaurants bemerkt …",5,vor 8 Monaten,SEEN+RESTAURANT,2022-06-26
"Die beste chinesische (Sichuanische) Küche in München. Bin sehr positiv überrascht. Die Speisen haben uns sehr gut geschmeckt. Ich hab hier meinen Geburtstag gefeiert, und es war eine sehr schöne Erinnerung, danke nochmal^^",5,vor 8 Monaten,SEEN+RESTAURANT,2022-06-26
