Review Text,Review Rate,Review Time,search,insert_date
Der erste Eindruck lässt einem schon direkt den Atem stocken . Der Eingang ist klein und kann schon mal leicht übersehen werden aber wenn man ihn dann findet und die Treppe heruntergeht kommt man in einer ganz anderen Welt an . Es sieht einfach magisch aus und jedes kleinste Detail wurde mir einer unglaublichen Vorsicht ausgewählt . Der Eindruck ist rundum stimmig und man fühlt sich direkt wohl und wir auch vom Personal überaus freundlich empfangen und zum Tisch gebracht . Wir haben das Special Menü bestellt und einen Süßen Muskateller der perfekt zum Menü gepasst hat. Jedes Gericht war ein Gedicht für sich und unglaublich lecker . ( Leider habe ich nicht alle fotografiert ) Die Cocktails und Desserts sind auch sehr zu empfehlen . Also ein voller Erfolg und immer wieder gerne . Kann ich nur jedem Empfehlen der gutes Essen zu schätzen weiß.,5,vor 5 Monaten,Ya+The+Mandarin+Room,2022-06-26
"Sehr gutes asiatisches Restaurant, wo man in Menüs sich durch eine Vielzahl an leckeren Gerichten probieren kann. Zudem ist auch die Inneneinrichtung sehr außergewöhnlich und der Service ausgesprochen nett. Für mehr Impressionen die Bilder betrachten. Preislich ist es nicht geschenkt, aber das Preis-Leistungs-Verhältnis ist auf jeden Fall noch ok. Unbedingt auch die Cocktails probieren.",5,vor einer Woche,Ya+The+Mandarin+Room,2022-06-26
"Sehr schön eingerichtetes Restaurant! Service auch sehr aufmerksam und nett. Die Dim Sum sind doppelt so groß wie sonst, daher lasst euch nicht vom Preis täuschen ….so ein angebotenes Menü ist wirklich reichlich und schmackhaft. Komme gerne wieder!
Update: nächster Besuch mit noch mehr Bildern 😊",5,vor 4 Monaten,Ya+The+Mandarin+Room,2022-06-26
"Die Atmosphäre in dem Restaurant war sehr cool und die Menüs hatten viele unterschiedliche Gerichte. Wir hatten jeweils das Dim Sum Heaven und Ya Signature Menü, mit Kanton Ente und verschiedenen Dim Sums. Das Essen war einfach top! Der Geschmack war super bei jeden Gericht und die Präsentation war mega.

Auch die Toiletten waren sehr sauber und schön eingerichtet. Der einzige Nachteil beim Abendessen war das die Bedienung etwas langsam war, aber trotzdem immer freundlich!",5,vor einem Monat,Ya+The+Mandarin+Room,2022-06-26
"Waren am Sonntag Abend das erste Mal im Ya und es wird nicht das letzte Mal gewesen sein. Das von außen eher unscheinbare Lokal erreicht man über eine Treppe. Das Lokal ist quasi im Keller, überrascht durch seine Größe und die wirklich sehr aufwendige Einrichtung.
Wir haben uns für das Signature Menü entschieden. Die ausgelöste Hähnchenkeule und der Blattspinat waren in Ordnung. Die nächsten Gänge mit Dumplings und Wan Tans Waren sehr gut. Die Peking Ente und der Seeteufel schmeckten hervorragend. Der Abstand zwischen den Gerichten war gut und vor den Hauptgängen wurden wir gefragt, wann serviert werden soll. Die Bedienungen waren aufmerksam. Der Preis für dieses Menü von 36 EUR pro Person ist akzeptabel. Bei den Getränken zahlt man die bekannten Münchner Preise",5,vor einem Monat,Ya+The+Mandarin+Room,2022-06-26
"Freunde der chinesischen Küche aufgepasst, im YA Mandarin Room gibt es gleich eine ganze Reihe an kantonesischen Spezialitäten 😋 Ihr könnt hier in tollem Ambiente frei von der Karte wählen oder euch ein Menü aussuchen. Für uns gab es gestern das Signature Menü für 36 Euro p.P. was wir total fair finden 👍 Das Highlight war auf jeden Fall die Ente nach traditionellem Rezept😍
Das Essen war hervorragend, der Service super zuvorkommend und das Restaurant ist toll eingerichtet. Wir kommen bestimmt bald wieder 👍",5,vor 3 Monaten,Ya+The+Mandarin+Room,2022-06-26
"Sehr nettes und angenehmes Restaurant. Das Ambiente ist ruhig und stilvoll. Die Kellner sehr aufmerksam. Das Essen ist eine spannende Kombination aus Dim Sum mit dem klassischen Essen. Alles sehr frisch. Das Gemüse bzw. Die Preise sind etwas gehoben, in Anbetracht der Tatsache das hier kein „Fastfood“ serviert wird, alles in einem guten Rahmen. Wir waren eine große Gruppe. Das Essen haben unstotal übergezeugt.Ich komme sehr gerne wieder",5,vor 3 Monaten,Ya+The+Mandarin+Room,2022-06-26
"Erster Besuch. Coole Einrichtung, schöne Atmosphäre. Sehr freundliches und aufmerksames Personal. Gut sortierte Weinkarte. Wir hatten einen Weissen Burgunder aus Appenheim von Hofmann. Sehr zu empfehlen und angenehmer Preis. Die Spezialitäten sind die Ente und Dumplings. Sehr gut. Einziger Kritikpunkt- Das Essen könnte etwas wärmer sein. Ansonsten uneingeschränkte Empfehlung.👍",5,vor 5 Monaten,Ya+The+Mandarin+Room,2022-06-26
"Ein wirkliches Erlebnis! Die Reise in eine andere Stadt beginnt quasi mit betreten des Restaurants. Das Ambiente ist sehr schön und sehr edel. Die Mitarbeiter sind einheitlich gekleidet und man wird nach Asien entführt. Die Musik ist perfekt abgestimmt und das gesamte Erlebnis allein ist einen Besuch wert. Das Essen ist  wirklich sehr gut gerade im Menü (mehrere Gänge) wird man durch die vielen Teller gerade zu verwöhnt. Der Preis ist relativ hoch und für den Durchschnittsbürger wahrscheinlich keine schnelle Mittagspause aber für einen besonderen Anlass (oder ein romantisches Date zu 2 ) aufjedenfall perfekt!

Der Service gibt sich größte Mühe und kleinste Fehler werden großzügig wieder gut gemacht.

Das Essen ist auf einem sehr hohen Niveau zubereitet, was man vor allem bei der Ente merkt.

In ungerader Zahl ( zu 3 oder zu 5 etc) wird es schwer das Menü zu nehmen oder aufzuteilen. Wobei man auch hier durch die ""normale"" Karte voll auf seine Kosten kommt.

Aufjedenfall empfehlenswert!",5,vor 9 Monaten,Ya+The+Mandarin+Room,2022-06-26
"Leckeres chinesisches Essen, tolles Ambiente und freundlicher Service.
Frischer Wind im Bereich der chinesischen Restaurants in München, der uns sehr gut gefallen hat!",5,vor 2 Wochen,Ya+The+Mandarin+Room,2022-06-26
"Das Restaurant ist etwas versteckt auf der Leopoldstraße, aber wenn man das Restaurant betritt wird man von der tollen Einrichtung und Atmosphäre überrascht. Es ist sehr modern aber doch gemütlich eingerichtet. Perfekt für ein romantisches Date oder für einen besonderen Anlass.

Wir waren dort zu Abend essen und haben das Signature Menü bestellt. Vorab hatten wir den Pu-Erh Tee in Limettenschale bestellt und erhielten eine kleine Teezeremonie.

Uns hat besonders die Vielfalt des Menüs gefallen und alle Gerichte waren sehr frisch und geschmacklich top.

Preislich ist das Lokal etwas höher angesetzt, aber es ist definitiv das Geld wert.

Wir werden das YA wieder besuchen und dann eines der vielen anderen Menüs ausprobieren.

⭐️abzug gibt es für den Service. Wir mussten teilweise etwas lange auf unser Dessert warten und der Service könnte etwas aufmerksamer sein. Ansonsten war es ein sehr schöner Abend beim YA.",4,vor 8 Monaten,Ya+The+Mandarin+Room,2022-06-26
"Super! Ich war mit meiner Freundin in diesen Restaurant. Die Atmosphäre ist romantisch. Natürlich, Essens sind wie in Guangzhou und  Hongkong. Reinsteig mit Rinderfleisch gefällt mir sehr! Nächste mal werde ich gerne noch Xiajiao probieren!",5,vor 2 Monaten,Ya+The+Mandarin+Room,2022-06-26
"Elegant und lecker! Eine Reise der Geschmäcker🥰 Mein Mann und ich haben uns für ein Menü entschieden und haben es nicht bereut! Bilder erzählen mehr wie 1000 Worte 😉 seht selbst😇 Wir werden auf jeden Fall nochmal hingehen, denn die Dumplings haben uns begeistert! Die Terrasse ist super schön aber auch Innen schaut es mega gemütlich aus. Noch ein Wort zum Personal: äussert aufmerksam und sehr freundlich. Danke für den wunderschönen Abend im Ya!💖👍",5,vor 10 Monaten,Ya+The+Mandarin+Room,2022-06-26
"Wir haben 3 verschiedene Menüs bestellt, es war eine tolle Reise durch die chinesische Küche, alles andere als Standart.
Tolle Einrichtung und authentisches Ambiente.
persönliche Empfehlung: Seeteufel",5,vor 3 Monaten,Ya+The+Mandarin+Room,2022-06-26
